sofifa_id,short_name,height_cm,nationality,club,overall,player_positions
158023,L. Messi,170,Argentina,FC Barcelona,94,"RW, CF, ST"
20801,Cristiano Ronaldo,187,Portugal,Juventus,93,"ST, LW"
190871,Neymar Jr,175,Brazil,Paris Saint-Germain,92,"LW, CAM"
200389,J. Oblak,188,Slovenia,Atlético Madrid,91,GK
183277,E. Hazard,175,Belgium,Real Madrid,91,"LW, CF"
192985,K. De Bruyne,181,Belgium,Manchester City,91,"CAM, CM"
192448,M. ter Stegen,187,Germany,FC Barcelona,90,GK
203376,V. van Dijk,193,Netherlands,Liverpool,90,CB
177003,L. Modrić,172,Croatia,Real Madrid,90,CM
209331,M. Salah,175,Egypt,Liverpool,90,"RW, ST"
231747,K. Mbappé,178,France,Paris Saint-Germain,89,"ST, RW"
201024,K. Koulibaly,187,Senegal,Napoli,89,CB
202126,H. Kane,188,England,Tottenham Hotspur,89,ST
212831,Alisson,191,Brazil,Liverpool,89,GK
193080,De Gea,192,Spain,Manchester United,89,GK
215914,N. Kanté,168,France,Chelsea,89,"CDM, CM"
138956,G. Chiellini,187,Italy,Juventus,89,CB
153079,S. Agüero,173,Argentina,Manchester City,89,ST
155862,Sergio Ramos,184,Spain,Real Madrid,89,CB
176580,L. Suárez,182,Uruguay,FC Barcelona,89,ST
188545,R. Lewandowski,184,Poland,FC Bayern München,89,ST
189511,Sergio Busquets,189,Spain,FC Barcelona,89,"CDM, CM"
194765,A. Griezmann,176,France,FC Barcelona,89,"CF, ST, LW"
211110,P. Dybala,177,Argentina,Juventus,88,"CAM, RW"
195864,P. Pogba,191,France,Manchester United,88,"CM, CDM"
210257,Ederson,188,Brazil,Manchester City,88,GK
202652,R. Sterling,170,England,Manchester City,88,"RW, LW"
190460,C. Eriksen,181,Denmark,Tottenham Hotspur,88,"CAM, CM"
192119,T. Courtois,199,Belgium,Real Madrid,88,GK
152729,Piqué,194,Spain,FC Barcelona,88,CB
162835,S. Handanovič,193,Slovenia,Inter,88,GK
167495,M. Neuer,193,Germany,FC Bayern München,88,GK
167948,H. Lloris,188,France,Tottenham Hotspur,88,GK
168542,David Silva,173,Spain,Manchester City,88,"CAM, CM"
179813,E. Cavani,185,Uruguay,Paris Saint-Germain,88,ST
182493,D. Godín,187,Uruguay,Inter,88,CB
182521,T. Kroos,183,Germany,Real Madrid,88,CM
188350,M. Reus,180,Germany,Borussia Dortmund,88,"CAM, LM, ST"
188567,P. Aubameyang,187,Gabon,Arsenal,88,"ST, LM"
208722,S. Mané,175,Senegal,Liverpool,88,"LW, LM"
212218,A. Laporte,189,France,Manchester City,87,"CB, LB"
218667,Bernardo Silva,173,Portugal,Manchester City,87,"RW, CAM, CM"
200145,Casemiro,185,Brazil,Real Madrid,87,CDM
200104,H. Son,183,Korea Republic,Tottenham Hotspur,87,"CF, LM"
135507,Fernandinho,179,Brazil,Manchester City,87,CDM
164240,Thiago Silva,183,Brazil,Paris Saint-Germain,87,CB
165153,K. Benzema,185,France,Real Madrid,87,"CF, ST"
172871,J. Vertonghen,189,Belgium,Tottenham Hotspur,87,CB
175943,D. Mertens,169,Belgium,Napoli,87,"CF, ST"
178603,M. Hummels,191,Germany,Borussia Dortmund,87,CB
184087,T. Alderweireld,186,Belgium,Tottenham Hotspur,87,CB
189332,Jordi Alba,170,Spain,FC Barcelona,87,LB
189509,Thiago,174,Spain,FC Bayern München,87,"CM, CAM, CDM"
193041,K. Navas,185,Costa Rica,Real Madrid,87,GK
198219,L. Insigne,163,Italy,Napoli,87,"CF, LW, ST"
222492,L. Sané,183,Germany,Manchester City,86,LW
207865,Marquinhos,183,Brazil,Paris Saint-Germain,86,"CB, CDM"
232363,M. Škriniar,187,Slovakia,Inter,86,CB
199556,M. Verratti,165,Italy,Paris Saint-Germain,86,"CM, CDM"
205600,S. Umtiti,182,France,FC Barcelona,86,CB
186153,W. Szczęsny,195,Poland,Juventus,86,GK
212622,J. Kimmich,176,Germany,FC Bayern München,86,"RB, CM, CDM"
197781,Isco,176,Spain,Real Madrid,86,"CAM, CM, LW"
201942,Roberto Firmino,181,Brazil,Liverpool,86,"CF, ST, CAM"
168651,I. Rakitić,184,Croatia,FC Barcelona,86,"CM, CDM"
180206,M. Pjanić,178,Bosnia Herzegovina,Juventus,86,"CM, CDM"
183898,A. Di María,180,Argentina,Paris Saint-Germain,86,"RW, LW"
184344,L. Bonucci,190,Italy,Juventus,86,CB
189242,Coutinho,172,Brazil,FC Bayern München,86,"LW, CM"
189513,Parejo,182,Spain,Valencia CF,86,CM
189596,T. Müller,186,Germany,FC Bayern München,86,"CAM, RM, RW"
192387,C. Immobile,185,Italy,Lazio,86,ST
193301,A. Lacazette,175,France,Arsenal,86,ST
235243,M. de Ligt,189,Netherlands,Juventus,85,CB
230621,G. Donnarumma,196,Italy,Milan,85,GK
228702,F. de Jong,180,Netherlands,FC Barcelona,85,"CM, CDM"
201535,R. Varane,191,France,Real Madrid,85,CB
212190,N. Süle,195,Germany,FC Bayern München,85,CB
223848,S. Milinković-Savić,191,Serbia,Lazio,85,"CM, CAM"
231866,Rodri,191,Spain,Manchester City,85,"CDM, CM"
208421,Saúl,184,Spain,Atlético Madrid,85,"CM, LM, RM"
209499,Fabinho,188,Brazil,Liverpool,85,CDM
216267,A. Robertson,178,Scotland,Liverpool,85,LB
216460,J. Giménez,185,Uruguay,Atlético Madrid,85,CB
220440,C. Lenglet,186,France,FC Barcelona,85,CB
212198,Bruno Fernandes,179,Portugal,Sporting CP,85,"CAM, CM"
199482,A. Lopes,184,Portugal,Olympique Lyonnais,85,GK
185122,P. Gulácsi,192,Hungary,RB Leipzig,85,GK
189117,R. Bürki,187,Switzerland,Borussia Dortmund,85,GK
192505,R. Lukaku,190,Belgium,Inter,85,ST
192774,K. Manolas,189,Greece,Napoli,85,CB
194404,Neto,190,Brazil,FC Barcelona,85,GK
197445,D. Alaba,180,Austria,FC Bayern München,85,"LB, CB"
201399,M. Icardi,181,Argentina,Inter,85,ST
204963,Carvajal,173,Spain,Real Madrid,85,RB
208670,H. Ziyech,181,Morocco,Ajax,85,"CAM, RW"
41236,Z. Ibrahimović,195,Sweden,LA Galaxy,85,ST
143076,A. Gómez,165,Argentina,Atalanta,85,"CAM, CF, ST"
167664,G. Higuaín,186,Argentina,Juventus,85,ST
170890,B. Matuidi,180,France,Juventus,85,"CDM, CM"
173731,G. Bale,185,Wales,Real Madrid,85,"RW, LW, ST"
176676,Marcelo,174,Brazil,Real Madrid,85,LB
177413,A. Witsel,186,Belgium,Borussia Dortmund,85,"CDM, CM"
191043,Alex Sandro,180,Brazil,Juventus,85,"LB, LM"
192629,Iago Aspas,176,Spain,RC Celta,85,"ST, RW"
193747,Koke,176,Spain,Atlético Madrid,85,"RM, LM, CM"
198710,J. Rodríguez,180,Colombia,Real Madrid,85,"CAM, CM, RM"
199914,Allan,175,Brazil,Napoli,85,CM
233049,J. Sancho,180,England,Borussia Dortmund,84,"RM, LM"
235790,K. Havertz,188,Germany,Bayer 04 Leverkusen,84,"CAM, RM"
231443,O. Dembélé,178,France,FC Barcelona,84,"RW, LW"
206585,Kepa,186,Spain,Chelsea,84,GK
210514,João Cancelo,182,Portugal,Manchester City,84,RB
211117,D. Alli,188,England,Tottenham Hotspur,84,"CAM, CM"
220814,L. Hernández,182,France,FC Bayern München,84,"CB, LB"
230658,Arthur,171,Brazil,FC Barcelona,84,CM
202556,M. Depay,176,Netherlands,Olympique Lyonnais,84,"CF, LW, CAM"
209658,L. Goretzka,189,Germany,FC Bayern München,84,"CM, CAM, CDM"
212194,J. Brandt,185,Germany,Borussia Dortmund,84,"CAM, LM, RM"
213345,K. Coman,179,France,FC Bayern München,84,"LM, RM, LW"
206113,S. Gnabry,175,Germany,FC Bayern München,84,"RM, LM, LW"
216594,N. Fekir,173,France,Real Betis,84,CAM
192563,B. Leno,190,Germany,Arsenal,84,GK
198706,Luis Alberto,183,Spain,Lazio,84,"CAM, CM, CF"
212462,Alex Telles,181,Brazil,FC Porto,84,LB
236583,J. Pavlenka,196,Czech Republic,SV Werder Bremen,84,GK
198176,S. de Vrij,189,Netherlands,Inter,84,CB
201995,Felipe Anderson,175,Brazil,West Ham United,84,LM
120533,Pepe,188,Portugal,FC Porto,84,CB
162347,João Moutinho,170,Portugal,Wolverhampton Wanderers,84,CM
167628,S. Ruffier,188,France,AS Saint-Étienne,84,GK
168435,S. Sirigu,192,Italy,Torino,84,GK
171877,M. Hamšík,183,Slovakia,Dalian YiFang FC,84,CM
172879,Sokratis,186,Greece,Arsenal,84,CB
176266,Lucas Leiva,179,Brazil,Lazio,84,CDM
176635,M. Özil,180,Germany,Arsenal,84,"CAM, RW"
177610,Javi Martínez,192,Spain,FC Bayern München,84,"CDM, CB"
177683,Y. Sommer,183,Switzerland,Borussia Mönchengladbach,84,GK
180930,E. Džeko,193,Bosnia Herzegovina,Roma,84,ST
181291,G. Wijnaldum,175,Netherlands,Liverpool,84,"CM, CDM"
181458,I. Perišić,186,Croatia,FC Bayern München,84,LM
181783,M. Mandžukić,190,Croatia,Juventus,84,"ST, LW"
181872,A. Vidal,180,Chile,FC Barcelona,84,"CM, CDM"
183907,J. Boateng,192,Germany,FC Bayern München,84,CB
184432,Azpilicueta,178,Spain,Chelsea,84,"RB, CB"
185020,José Callejón,178,Spain,Napoli,84,"RM, RW"
186942,I. Gündoğan,180,Germany,Manchester City,84,"CM, CDM"
187961,Paulinho,183,Brazil,Guangzhou Evergrande Taobao FC,84,"CM, CAM, CDM"
188377,K. Walker,183,England,Manchester City,84,RB
190286,Canales,176,Spain,Real Betis,84,"CAM, CM, CF"
190483,Douglas Costa,172,Brazil,Juventus,84,"LM, RW, LW"
197965,Pizzi,177,Portugal,SL Benfica,84,"RM, CM"
199434,D. Tadić,181,Serbia,Ajax,84,"CAM, LW, ST"
200647,J. Iličić,190,Slovenia,Atalanta,84,"CF, ST"
204485,R. Mahrez,179,Algeria,Manchester City,84,"RW, RM"
205678,E. Višća,172,Bosnia Herzegovina,Medipol Başakşehir FK,84,"RM, RW"
207863,Felipe,190,Brazil,Atlético Madrid,84,CB
226271,Fabián,189,Spain,Napoli,83,"CM, CDM, CAM"
210413,A. Romagnoli,188,Italy,Milan,83,CB
226226,G. Lo Celso,177,Argentina,Tottenham Hotspur,83,"CM, CAM, CF"
231281,T. Alexander-Arnold,180,England,Liverpool,83,RB
232432,L. Jović,182,Serbia,Real Madrid,83,ST
205175,A. Milik,186,Poland,Napoli,83,ST
211300,A. Martial,184,France,Manchester United,83,"LW, ST, LM"
212523,Anderson Talisca,190,Brazil,Guangzhou Evergrande Taobao FC,83,"CAM, RW"
213331,J. Tah,195,Germany,Bayer 04 Leverkusen,83,CB
219683,C. Tolisso,181,France,FC Bayern München,83,"CM, CDM"
221087,Pau López,189,Spain,Roma,83,GK
224411,Gonçalo Guedes,179,Portugal,Valencia CF,83,"LM, ST"
226110,N. Pépé,183,Ivory Coast,Arsenal,83,"RM, RW, ST"
229237,M. Akanji,187,Switzerland,Borussia Dortmund,83,CB
231677,M. Rashford,186,England,Manchester United,83,"ST, LM"
203574,J. Stones,188,England,Manchester City,83,CB
210008,A. Rabiot,192,France,Juventus,83,"CM, CDM"
210035,Grimaldo,171,Spain,SL Benfica,83,LB
212188,T. Werner,180,Germany,RB Leipzig,83,ST
213565,T. Lemar,171,France,Atlético Madrid,83,"LM, CAM, RM"
220793,D. Sánchez,187,Colombia,Tottenham Hotspur,83,CB
220834,Marco Asensio,182,Spain,Real Madrid,83,"LW, RW"
200458,L. Digne,178,France,Everton,83,LB
202166,J. Draxler,187,Germany,Paris Saint-Germain,83,"CAM, CM, LW"
204935,J. Pickford,185,England,Everton,83,GK
208418,Y. Carrasco,180,Belgium,Dalian YiFang FC,83,LM
224179,Borja Iglesias,187,Spain,Real Betis,83,ST
192984,K. Casteels,197,Belgium,VfL Wolfsburg,83,GK
198717,W. Zaha,180,Ivory Coast,Crystal Palace,83,"CF, LM, LW"
200454,Paco Alcácer,175,Spain,Borussia Dortmund,83,ST
201153,Morata,189,Spain,Atlético Madrid,83,ST
205693,S. Haller,190,France,West Ham United,83,ST
207566,William Carvalho,187,Portugal,Real Betis,83,"CDM, CM"
212404,F. Bernardeschi,185,Italy,Juventus,83,"RM, CAM"
217940,D. Djené,178,Togo,Getafe CF,83,CB
188152,Oscar,181,Brazil,Shanghai SIPG FC,83,"CAM, CM"
188943,K. Trapp,189,Germany,Eintracht Frankfurt,83,GK
198141,Bartra,184,Spain,Real Betis,83,CB
198950,Pablo Sarabia,174,Spain,Paris Saint-Germain,83,"CAM, CM, RM"
199987,J. Cillessen,185,Netherlands,Valencia CF,83,GK
200949,Lucas Moura,174,Brazil,Tottenham Hotspur,83,"CF, RM, LM"
204970,F. Thauvin,179,France,Olympique de Marseille,83,"RW, RM"
205498,Jorginho,180,Italy,Chelsea,83,"CM, CDM"
1179,G. Buffon,192,Italy,Juventus,83,GK
5479,Casillas,185,Spain,FC Porto,83,GK
104389,R. Jarstein,190,Norway,Hertha BSC,83,GK
139720,V. Kompany,190,Belgium,RSC Anderlecht,83,CB
157481,Raúl Albiol,190,Spain,Villarreal CF,83,CB
159261,F. Quagliarella,180,Italy,Sampdoria,83,ST
163587,K. Schmeichel,189,Denmark,Leicester City,83,GK
167397,Falcao,177,Colombia,AS Monaco,83,ST
168609,Miranda,186,Brazil,Jiangsu Suning FC,83,CB
169416,C. Vela,177,Mexico,Los Angeles FC,83,"RW, LW, CAM"
170481,E. Garay,189,Argentina,Valencia CF,83,CB
178005,Rui Patrício,190,Portugal,Wolverhampton Wanderers,83,GK
178518,R. Nainggolan,176,Belgium,Cagliari,83,"CAM, CM"
178562,E. Banega,174,Argentina,Sevilla FC,83,"CDM, CM, CAM"
179844,Diego Costa,188,Spain,Atlético Madrid,83,ST
179846,S. Khedira,189,Germany,Juventus,83,"CM, CDM"
179944,David Luiz,189,Brazil,Arsenal,83,CB
183574,M. Kruse,180,Germany,Fenerbahçe SK,83,"CF, ST, CAM"
183711,J. Henderson,182,England,Liverpool,83,"CDM, CM"
184484,G. Sigurðsson,186,Iceland,Everton,83,CAM
186561,A. Ramsey,183,Wales,Juventus,83,"CM, CAM"
190584,Illarramendi,179,Spain,Real Sociedad,83,"CDM, CM"
190815,D. Blind,180,Netherlands,Ajax,83,"CDM, CB, LB"
190941,L. Hrádecký,192,Finland,Bayer 04 Leverkusen,83,GK
192366,N. Otamendi,183,Argentina,Manchester City,83,CB
193082,J. Cuadrado,179,Colombia,Juventus,83,"RM, RW"
193474,I. Gueye,174,Senegal,Paris Saint-Germain,83,CDM
195365,K. Kampl,178,Slovenia,RB Leipzig,83,"CM, CAM, CDM"
198329,Rodrigo,182,Spain,Valencia CF,83,ST
199042,C. Aránguiz,171,Chile,Bayer 04 Leverkusen,83,"CM, CDM"
199451,W. Ben Yedder,170,France,AS Monaco,83,ST
199845,F. Acerbi,192,Italy,Lazio,83,CB
200888,Danilo Pereira,188,Portugal,FC Porto,83,"CDM, CM"
216354,A. Kramarić,177,Croatia,TSG 1899 Hoffenheim,83,"ST, CAM, LW"
230294,Louri Beretta,188,Brazil,Atlético Mineiro,83,"ST, CF"
230375,Josué Chiamulera,185,Brazil,Grêmio,83,CB
230481,Ronaldo Cabrais,177,Brazil,Grêmio,83,"RW, CAM"
230142,Oyarzabal,181,Spain,Real Sociedad,82,"LW, LM, RW"
229906,L. Bailey,178,Jamaica,Bayer 04 Leverkusen,82,"LW, RW"
230666,Gabriel Jesus,175,Brazil,Manchester City,82,ST
207410,M. Kovačić,176,Croatia,Chelsea,82,CM
208596,A. Belotti,181,Italy,Torino,82,ST
212151,T. Strakosha,193,Albania,Lazio,82,GK
220971,N. Keïta,172,Guinea,Liverpool,82,"CM, CDM"
223959,L. Torreira,168,Uruguay,Arsenal,82,"CDM, CM"
224293,Rúben Neves,180,Portugal,Wolverhampton Wanderers,82,CM
225850,P. Kimpembe,189,France,Paris Saint-Germain,82,CB
225953,S. Bergwijn,178,Netherlands,PSV,82,"RW, CAM, LW"
226753,A. Onana,187,Cameroon,Ajax,82,GK
227928,Nélson Semedo,177,Portugal,FC Barcelona,82,RB
193105,A. Areola,195,France,Paris Saint-Germain,82,GK
198009,M. Perin,188,Italy,Juventus,82,GK
211320,D. Rugani,190,Italy,Juventus,82,CB
214997,A. Correa,171,Argentina,Atlético Madrid,82,"RM, ST"
216201,Iñaki Williams,186,Spain,Athletic Club de Bilbao,82,"ST, RW"
221992,H. Lozano,175,Mexico,PSV,82,"RW, LW"
227055,Gelson Martins,173,Portugal,AS Monaco,82,"RM, RW"
200726,B. Lecomte,186,France,AS Monaco,82,GK
209989,T. Partey,185,Ghana,Atlético Madrid,82,"CM, CDM, RM"
211748,K. Demirbay,182,Germany,Bayer 04 Leverkusen,82,CM
197061,J. Matip,194,Cameroon,Liverpool,82,CB
202651,Suso,176,Spain,Milan,82,"RW, CF"
204639,S. Savić,187,Montenegro,Atlético Madrid,82,CB
205452,A. Rüdiger,190,Germany,Chelsea,82,CB
209960,Pacheco,186,Spain,Deportivo Alavés,82,GK
210243,Ricardo Pereira,175,Portugal,Leicester City,82,"RB, RM"
211256,N. Tagliafico,172,Argentina,Ajax,82,LB
223952,David Soria,192,Spain,Getafe CF,82,GK
178750,Sergio Asenjo,189,Spain,Villarreal CF,82,GK
189575,Muniain,170,Spain,Athletic Club de Bilbao,82,"CAM, LW"
192318,M. Götze,176,Germany,Borussia Dortmund,82,"CF, CAM, CM"
193283,T. Delaney,182,Denmark,Borussia Dortmund,82,"CDM, CM"
193698,O. Baumann,187,Germany,TSG 1899 Hoffenheim,82,GK
195093,Willian José,189,Brazil,Real Sociedad,82,ST
199564,Sergi Roberto,178,Spain,FC Barcelona,82,"RB, RM, CM"
